id,match_id,player_id,round,question_id,selected_option,is_correct,points_earned,response_time_ms,answered_at
02c58885-f263-4c01-8003-5c3dae714de5,bc52c02f-c108-46d4-b4b3-5d895228e21a,61382c64-6aff-4f8b-9c34-588b19bb3ee2,3,17d07c46-832b-4fed-8d14-5c6ff33381cb,Movie Sci-Fi,false,0,4730,2026-09-15 17:32:40.08532+00
02de3f75-d7af-4750-b8d8-6eefba326c9c,00d28983-7122-4446-8521-20d968b095c2,d2cc9192-79c1-4661-aa74-498d85610733,1,9fff14db-911c-4ec5-abca-50f082cadfff,ai,true,143,1423,2026-09-15 16:15:50.88463+00
02e95ed1-1c0e-4ff7-9300-31deec6a8889,8203b2f9-5954-4281-ac8a-c3a4014c0314,c99ec121-e4b4-49b7-9a60-d21f2e733e9c,3,d45edb8b-d191-4fe8-b1f8-e07733a57928,AI Copywriter,true,130,4068,2026-09-16 10:29:50.205376+00
0316e6c8-6035-469a-95b7-dc14a47689ea,144cd33d-4b84-4fab-9d50-e39ca3e1821d,d01565be-f45f-4183-a313-3165ce537bfa,3,491bd851-637b-4861-ac7c-7ee9074f3a26,Neural Network,true,118,6450,2026-09-16 11:54:02.458366+00
034e8950-bfb9-49e3-979f-f22b4d99aab6,e73ffce7-e431-4e8a-9865-6b786403be63,4957c8f1-3943-4749-8a87-2307b7478984,2,2c78ef21-acfd-43b3-97e2-0654fea58b80,AIVA,false,0,3262,2026-09-15 17:22:55.4644+00
037245ea-8153-4f55-ad56-1e6e624ffef6,e73ffce7-e431-4e8a-9865-6b786403be63,2ff1728f-d092-4401-a3e0-d302a5e84da5,3,d45edb8b-d191-4fe8-b1f8-e07733a57928,AI Copywriter,true,128,4401,2026-09-15 17:23:31.219635+00
03917d62-7c92-45fc-ac07-e10bfb66fa68,bc52c02f-c108-46d4-b4b3-5d895228e21a,9e73b632-2e07-4b8a-b42f-37d373250efd,1,3bba083c-ae4f-405b-8732-d904bae2f299,ai,true,139,2243,2026-09-15 17:30:38.694814+00
039edc1d-5444-4f27-af72-1631a63c21a8,bc52c02f-c108-46d4-b4b3-5d895228e21a,6202ad9f-7b8a-416e-9c73-b82b2fa9298d,1,0463a4a2-50f0-482f-971a-22e359942d64,ai,true,139,2266,2026-09-15 17:30:48.769834+00
03d470de-6c91-411a-a275-86aebf860bdd,144cd33d-4b84-4fab-9d50-e39ca3e1821d,3fb948bb-52a1-4303-a014-238fbf16d523,1,c3eaade7-c12a-40bb-8f90-67a74480702c,ai,true,142,1540,2026-09-16 11:51:37.448873+00
03dc2994-8343-498f-ad98-bd5a8d87759d,144cd33d-4b84-4fab-9d50-e39ca3e1821d,d8cd3621-b49e-41f4-8669-381bbfaa98c1,1,ed8918ea-be0e-4d21-b90a-27074f4192e9,ai,true,120,5921,2026-09-16 11:51:21.263521+00
03ec1909-74d1-4631-9d9c-a66b8a399d10,8c94b08a-6f86-4e05-816f-78fe60450f4b,2c9311f2-a0c0-4384-931c-c75df00a3256,2,45819136-008f-4922-b474-b4425386bc13,Mistral,true,133,3450,2026-09-16 08:23:00.035831+00
03f17f0e-1af6-4b71-9e04-a5154e43040a,9d097fb9-b5a4-49ea-9ac1-54fd1e169179,cec3f541-6991-43c2-80d8-1abf0995d8dc,3,979f7aee-460a-4876-ad4f-e86bab5ddcae,AI Drug Discovery,true,130,4026,2026-09-15 18:16:47.45383+00
045dbd84-f692-41d7-8f32-dd75d9625580,8203b2f9-5954-4281-ac8a-c3a4014c0314,0f47e77e-3ae0-49b1-a483-29f02ba9ec18,2,94e44877-3fe3-489f-b1a2-b468c01c882a,ChatGPT,true,126,4739,2026-09-16 10:29:09.151193+00
045e61a0-d942-4e4a-8928-7a0a76d10ee9,37fe6f52-f258-4eea-b8e6-3a8b4ae4f9a1,66b077b0-39a9-4e2f-a763-fd3af7b7704c,1,07d42e9c-d78c-4b1a-8f81-ba479bb64edd,ai,true,113,7312,2026-09-16 07:33:03.790943+00
0466a587-00c8-45ed-b1ca-99cfc6895a1d,144cd33d-4b84-4fab-9d50-e39ca3e1821d,e26f0c79-78c8-4d2c-a4c1-9119f0d47aae,2,1c09cdef-0412-4920-b2e6-71998065319e,Alexa,true,104,9127,2026-09-16 11:52:35.955952+00
047d613a-4cb4-41a5-8bd8-eb093a0c7c07,9d097fb9-b5a4-49ea-9ac1-54fd1e169179,7681187d-0939-4ba2-82b8-d2c206d919fd,2,264fa80c-c513-4e12-aea7-1250e35cb79e,Sora,false,0,2738,2026-09-15 18:15:12.042892+00
048a7f88-1c8d-444e-a54a-3f5e9b7dd5a1,bc52c02f-c108-46d4-b4b3-5d895228e21a,6c803b0a-d4f5-4e6d-a083-5ee08c7d6bad,3,17d07c46-832b-4fed-8d14-5c6ff33381cb,AI Video Generation,true,127,4658,2026-09-15 17:32:38.770967+00
049ff6f9-dc8b-4d59-94b5-cce54a1a425a,264bc89b-c05e-418b-8581-e7ef030090b9,c8b8d123-d181-4abc-9322-c8548be58068,1,85a0a9ff-0c61-4289-8dbb-e585861cabbf,real,false,0,3783,2026-09-15 18:04:55.830647+00
04a2ada0-66e6-4971-b7a9-086a6f65b9c9,144cd33d-4b84-4fab-9d50-e39ca3e1821d,3fb948bb-52a1-4303-a014-238fbf16d523,1,ed8918ea-be0e-4d21-b90a-27074f4192e9,ai,true,138,2362,2026-09-16 11:51:18.268424+00
